char	digraph	description
^@	nu	null (nul)
^a	sh	start of heading (soh)
^b	sx	start of text (stx)
^c	ex	end of text (etx)
^d	et	end of transmission (eot)
^e	eq	enquiry (enq)
^f	ak	acknowledge (ack)
^g	bl	bell (bel)
^h	bs	backspace (bs)
^i	ht	character tabulation (ht)
^@	lf	line feed (lf)
^k	vt	line tabulation (vt)
^l	ff	form feed (ff)
^m	cr	carriage return (cr)
^n	so	shift out (so)
^o	si	shift in (si)
^p	dl	datalink escape (dle)
^q	d1	device control one (dc1)
^r	d2	device control two (dc2)
^s	d3	device control three (dc3)
^t	d4	device control four (dc4)
^u	nk	negative acknowledge (nak)
^v	sy	synchronous idle (syn)
^w	eb	end of transmission block (etb)
^x	cn	cancel (can)
^y	em	end of medium (em)
^z	sb	substitute (sub)
^[	ec	escape (esc)
^\	fs	file separator (is4)
^]	gs	group separator (is3)
^^	rs	record separator (is2)
^_	us	unit separator (is1)
" "	sp	space
#	nb	number sign
$	do	dollar sign
@	at	commercial at
[	<(	left square bracket
\	//	reverse solidus
]	)>	right square bracket
^	'>	circumflex accent
`	'!	grave accent
{	(!	left curly bracket
|	!!	vertical line
}	!)	right curly bracket
~	'?	tilde
^?	dt	delete (del)
~@	pa	padding character (pad)
~a	ho	high octet preset (hop)
~b	bh	break permitted here (bph)
~c	nh	no break here (nbh)
~d	in	index (ind)
~e	nl	next line (nel)
~f	sa	start of selected area (ssa)
~g	es	end of selected area (esa)
~h	hs	character tabulation set (hts)
~i	hj	character tabulation with justification (htj)
~j	vs	line tabulation set (vts)
~k	pd	partial line forward (pld)
~l	pu	partial line backward (plu)
~m	ri	reverse line feed (ri)
~n	s2	single-shift two (ss2)
~o	s3	single-shift three (ss3)
~p	dc	device control string (dcs)
~q	p1	private use one (pu1)
~r	p2	private use two (pu2)
~s	ts	set transmit state (sts)
~t	cc	cancel character (cch)
~u	mw	message waiting (mw)
~v	sg	start of guarded area (spa)
~w	eg	end of guarded area (epa)
~x	ss	start of string (sos)
~y	gc	single graphic character introducer (sgci)
~z	sc	single character introducer (sci)
~[	ci	control sequence introducer (csi)
~\	st	string terminator (st)
~]	oc	operating system command (osc)
~^	pm	privacy message (pm)
~_	ac	application program command (apc)
|	ns	no-break space
¡	!i	inverted exclamation mark
¢	ct	cent sign
£	pd	pound sign
¤	cu	currency sign
¥	ye	yen sign
¦	bb	broken bar
§	se	section sign
¨	':	diaeresis
©	co	copyright sign
ª	-a	feminine ordinal indicator
«	<<	left-pointing double angle quotation mark
¬	no	not sign
­	--	soft hyphen
®	rg	registered sign
¯	'm	macron
°	dg	degree sign
±	+-	plus-minus sign
²	2s	superscript two
³	3s	superscript three
´	''	acute accent
µ	my	micro sign
¶	pi	pilcrow sign
·	.m	middle dot
¸	'	184
¹	1s	superscript one
º	-o	masculine ordinal indicator
»	>>	right-pointing double angle quotation mark
¼	14	vulgar fraction one quarter
½	12	vulgar fraction one half
¾	34	vulgar fraction three quarters
¿	?i	inverted question mark
à	a!	latin capital letter a with grave
á	a'	latin capital letter a with acute
â	a>	latin capital letter a with circumflex
ã	a?	latin capital letter a with tilde
ä	a:	latin capital letter a with diaeresis
å	aa	latin capital letter a with ring above
æ	ae	latin capital letter ae
ç	c	199
è	e!	latin capital letter e with grave
é	e'	latin capital letter e with acute
ê	e>	latin capital letter e with circumflex
ë	e:	latin capital letter e with diaeresis
ì	i!	latin capital letter i with grave
í	i'	latin capital letter i with acute
î	i>	latin capital letter i with circumflex
ï	i:	latin capital letter i with diaeresis
ð	d-	latin capital letter eth (icelandic)
ñ	n?	latin capital letter n with tilde
ò	o!	latin capital letter o with grave
ó	o'	latin capital letter o with acute
ô	o>	latin capital letter o with circumflex
õ	o?	latin capital letter o with tilde
ö	o:	latin capital letter o with diaeresis
×	*x	multiplication sign
ø	o/	latin capital letter o with stroke
ù	u!	latin capital letter u with grave
ú	u'	latin capital letter u with acute
û	u>	latin capital letter u with circumflex
ü	u:	latin capital letter u with diaeresis
ý	y'	latin capital letter y with acute
þ	th	latin capital letter thorn (icelandic)
ß	ss	latin small letter sharp s (german)
à	a!	latin small letter a with grave
á	a'	latin small letter a with acute
â	a>	latin small letter a with circumflex
ã	a?	latin small letter a with tilde
ä	a:	latin small letter a with diaeresis
å	aa	latin small letter a with ring above
æ	ae	latin small letter ae
ç	c	231
è	e!	latin small letter e with grave
é	e'	latin small letter e with acute
ê	e>	latin small letter e with circumflex
ë	e:	latin small letter e with diaeresis
ì	i!	latin small letter i with grave
í	i'	latin small letter i with acute
î	i>	latin small letter i with circumflex
ï	i:	latin small letter i with diaeresis
ð	d-	latin small letter eth (icelandic)
ñ	n?	latin small letter n with tilde
ò	o!	latin small letter o with grave
ó	o'	latin small letter o with acute
ô	o>	latin small letter o with circumflex
õ	o?	latin small letter o with tilde
ö	o:	latin small letter o with diaeresis
÷	-:	division sign
ø	o/	latin small letter o with stroke
ù	u!	latin small letter u with grave
ú	u'	latin small letter u with acute
û	u>	latin small letter u with circumflex
ü	u:	latin small letter u with diaeresis
ý	y'	latin small letter y with acute
þ	th	latin small letter thorn (icelandic)
ÿ	y:	latin small letter y with diaeresis
ā	a-	latin capital letter a with macron
ā	a-	latin small letter a with macron
ă	a(	latin capital letter a with breve
ă	a(	latin small letter a with breve
ą	a;	latin capital letter a with ogonek
ą	a;	latin small letter a with ogonek
ć	c'	latin capital letter c with acute
ć	c'	latin small letter c with acute
ĉ	c>	latin capital letter c with circumflex
ĉ	c>	latin small letter c with circumflex
ċ	c.	latin capital letter c with dot above
ċ	c.	latin small letter c with dot above
č	c<	latin capital letter c with caron
č	c<	latin small letter c with caron
ď	d<	latin capital letter d with caron
ď	d<	latin small letter d with caron
đ	d/	latin capital letter d with stroke
đ	d/	latin small letter d with stroke
ē	e-	latin capital letter e with macron
ē	e-	latin small letter e with macron
ĕ	e(	latin capital letter e with breve
ĕ	e(	latin small letter e with breve
ė	e.	latin capital letter e with dot above
ė	e.	latin small letter e with dot above
ę	e;	latin capital letter e with ogonek
ę	e;	latin small letter e with ogonek
ě	e<	latin capital letter e with caron
ě	e<	latin small letter e with caron
ĝ	g>	latin capital letter g with circumflex
ĝ	g>	latin small letter g with circumflex
ğ	g(	latin capital letter g with breve
ğ	g(	latin small letter g with breve
ġ	g.	latin capital letter g with dot above
ġ	g.	latin small letter g with dot above
ģ	g	0290
ģ	g	0291
ĥ	h>	latin capital letter h with circumflex
ĥ	h>	latin small letter h with circumflex
ħ	h/	latin capital letter h with stroke
ħ	h/	latin small letter h with stroke
ĩ	i?	latin capital letter i with tilde
